,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tweet_id,image_id,text_info,text_info_conf,image_info,image_info_conf,text_human,text_human_conf,image_human,image_human_conf,image_damage,image_damage_conf,tweet_text,image_url,image_path,preprocess_tweet_text,image_predict,text_predict,text_predict_task2,image_predict_task2,task2
1,1,1,17135,17135,910678493419200514,910678493419200514_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,injured_or_dead_people,1.0,,,Mexico earthquake: Family mourns 11 dead after church falls at baptism https://t.co/V7RhlHr8NU https://t.co/kWGi8UCToO,http://pbs.twimg.com/media/DKNhQ0JXUAAbxPT.jpg,910678493419200514_0.jpg,mexico eahquake family mourns 11 dead after church falls at baptism ,0,0,0,0,0
2,2,2,7589,7589,930482499427241984,930482499427241984_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,rescue_volunteering_or_donation_effort,1.0,,,Iran’s earthquake death toll raised to 530: declared an emergency https://t.co/rzx5zDge0h https://t.co/wvx2DrQlhG,http://pbs.twimg.com/media/DOm85ahX4AE4L0a.jpg,930482499427241984_0.jpg,iran eahquake death toll raised to 530 declared an emergency ,0,0,0,0,0
3,3,3,5302,5302,921432077534339072,921432077534339072_0,informative,1.0,not_informative,1.0,rescue_volunteering_or_donation_effort,1.0,not_humanitarian,1.0,,,Charleston Animal Society helping with homeless animals from Puerto Rico https://t.co/J1jq61H6jt #chsnews #scnews https://t.co/pCorEZqeN3,http://pbs.twimg.com/media/DMmHkIHWsAAMFte.jpg,921432077534339072_0.jpg,charleston animal society helping with homeless animals from pueo rico ,1,0,0,1,0
5,5,5,15416,15416,909965919949955072,909965919949955072_0,not_informative,1.0,not_informative,0.6696,not_humanitarian,1.0,not_humanitarian,0.6696,,,ICYMI Tandberg- Joined at the hip. #ClimateSilence #climatechange #renewables #Harvey #Irma #Maria #auspol https://t.co/w34LhsiGgR,http://pbs.twimg.com/media/DKDZLmkVoAIFeZA.jpg,909965919949955072_0.jpg,icymi tandberg joined at the hip climatesilence climatechange renewables harvey irma maria auspol ,1,0,0,1,0
7,7,7,8599,8599,904516442485338114,904516442485338114_0,informative,1.0,not_informative,1.0,rescue_volunteering_or_donation_effort,1.0,not_humanitarian,1.0,,,HOUSTON TEXANS NFL Licensed Patch 100% of sale Donated Harvey Relief RED CROSS - https://t.co/EXDk2LFwnF https://t.co/Y5obwqLpzj,http://pbs.twimg.com/media/DI186KTXcAIVYTe.jpg,904516442485338114_0.jpg,houston texans nfl licensed patch 100 of sale donated harvey relief red cross ,1,0,0,1,0
8,8,8,16710,16710,910523478830227456,910523478830227456_0,informative,0.6397,informative,1.0,other_relevant_information,0.6397,rescue_volunteering_or_donation_effort,1.0,,,RT @Jentezen: We are praying for all the people in Mexico who are suffering from the earthquake. https://t.co/y55ZqWuOzX,http://pbs.twimg.com/media/DKIPQP4U8AA2I2B.jpg,910523478830227456_0.jpg, we are praying for all the people in mexico who are suffering from the eahquake ,0,0,1,0,0
15,15,15,16486,16486,910232813605027841,910232813605027841_0,informative,0.6948,not_informative,0.6448,rescue_volunteering_or_donation_effort,0.6948,not_humanitarian,0.6448,,,FAA greenlights drone use in Irma recovery https://t.co/qmnLx0dNxY #uas#uav#drone#suas https://t.co/DZitwBV7RM,http://pbs.twimg.com/media/DKHL6yaU8AAZMxw.jpg,910232813605027841_0.jpg,faa greenlights drone use in irma recovery ,1,0,0,1,0
16,16,16,14015,14015,909754715180867584,909754715180867584_0,informative,0.6671,informative,0.6826,rescue_volunteering_or_donation_effort,0.6671,rescue_volunteering_or_donation_effort,0.6826,,,"Irma victims need our help, they can't recover on their own! #IrmaRecovery #IrmaVictims ·Ωâ9donate medical supplies·ΩâB https://t.co/BzXy6jyKIR",http://pbs.twimg.com/media/DKAZFcTXUAEGUmX.jpg,909754715180867584_0.jpg,irma victims need our help they can,1,0,0,0,0
21,23,23,4684,4684,915284879901954048,915284879901954048_0,informative,0.6477,not_informative,0.6622,rescue_volunteering_or_donation_effort,0.6477,not_humanitarian,0.6622,,,"Dominica needs our help, please Donate what you can. https://t.co/V69PiiPD7S https://t.co/Kso4Tb3OEk",http://pbs.twimg.com/media/DLO-vvUWAAEg_pG.jpg,915284879901954048_0.jpg,dominica needs our help please donate what you can ,1,0,0,1,0
29,32,32,6495,6495,923736657051947009,923736657051947009_0,not_informative,1.0,not_informative,0.6439,not_humanitarian,1.0,not_humanitarian,0.6439,,,But yet the natural devastation that happened to Puerto Rico â€œthrew the budget out of whackâ€ ???? https://t.co/sgZCDSbLql,http://pbs.twimg.com/media/DNHFlt-XUAAxUw5.jpg,923736657051947009_0.jpg,but yet the natural devastation that happened to pueo rico threw the budget out of whack ,1,0,1,0,0
37,42,42,16895,16895,910555973776900096,910555973776900096_0,informative,0.6943,informative,0.6895,other_relevant_information,0.6943,rescue_volunteering_or_donation_effort,0.6895,,,5 Ways You Can Help Mexico After the Deadly Earthquake https://t.co/u40scdC0hr #entrepreneur #business https://t.co/dxbJbFYLjH,http://pbs.twimg.com/media/DKLx055VoAU_l-W.jpg,910555973776900096_0.jpg,5 ways you can help mexico after the deadly eahquake ,0,0,1,0,0
40,45,45,17259,17259,910739720065384449,910739720065384449_0,informative,1.0,not_informative,0.6855,injured_or_dead_people,1.0,not_humanitarian,0.6855,,,[The WorldView in 5 Minutes] Earthquake in Mexico City Kills Over [...] https://t.co/4KNw5f0MLx via @PodcastAddict https://t.co/km9lF4MyFx,http://pbs.twimg.com/media/DKOY8sOWsAAK_zS.jpg,910739720065384449_0.jpg, the worldview in 5 minutes eahquake in mexico city kills over ,1,0,0,1,0
