,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,tweet_id,image_id,text_info,text_info_conf,image_info,image_info_conf,text_human,text_human_conf,image_human,image_human_conf,image_damage,image_damage_conf,tweet_text,image_url,image_path,preprocess_tweet_text,image_predict,text_predict,text_predict_task2,image_predict_task2,task2,tokenised_text,human_prediction
0,1,1,1,17135,17135,910678493419200514,910678493419200514_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,injured_or_dead_people,1.0,,,Mexico earthquake: Family mourns 11 dead after church falls at baptism https://t.co/V7RhlHr8NU https://t.co/kWGi8UCToO,http://pbs.twimg.com/media/DKNhQ0JXUAAbxPT.jpg,../crisisApp/unzipped_data/a/910678493419200514_0.jpg,mexico eahquake family mourns 11 dead after church falls at baptism ,0,0,0,0,0,"[101, 3290, 19413, 2232, 16211, 3489, 2155, 9587, 14287, 2015, 2340, 2757, 2044, 2277, 4212, 2012, 18336, 102]",affected people
1,2,2,2,7589,7589,930482499427241984,930482499427241984_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,rescue_volunteering_or_donation_effort,1.0,,,Iran’s earthquake death toll raised to 530: declared an emergency https://t.co/rzx5zDge0h https://t.co/wvx2DrQlhG,http://pbs.twimg.com/media/DOm85ahX4AE4L0a.jpg,../crisisApp/unzipped_data/a/930482499427241984_0.jpg,iran eahquake death toll raised to 530 declared an emergency ,0,0,0,0,0,"[101, 4238, 19413, 2232, 16211, 3489, 2331, 9565, 2992, 2000, 23523, 4161, 2019, 5057, 102]",affected people
2,3,3,3,5302,5302,921432077534339072,921432077534339072_0,informative,1.0,not_informative,1.0,rescue_volunteering_or_donation_effort,1.0,not_humanitarian,1.0,,,Charleston Animal Society helping with homeless animals from Puerto Rico https://t.co/J1jq61H6jt #chsnews #scnews https://t.co/pCorEZqeN3,http://pbs.twimg.com/media/DMmHkIHWsAAMFte.jpg,../crisisApp/unzipped_data/a/921432077534339072_0.jpg,charleston animal society helping with homeless animals from pueo rico ,1,0,0,1,0,"[101, 10907, 4111, 2554, 5094, 2007, 11573, 4176, 2013, 16405, 8780, 7043, 102]",rescue
3,5,5,5,15416,15416,909965919949955072,909965919949955072_0,not_informative,1.0,not_informative,0.6696,not_humanitarian,1.0,not_humanitarian,0.6696,,,ICYMI Tandberg- Joined at the hip. #ClimateSilence #climatechange #renewables #Harvey #Irma #Maria #auspol https://t.co/w34LhsiGgR,http://pbs.twimg.com/media/DKDZLmkVoAIFeZA.jpg,../crisisApp/unzipped_data/a/909965919949955072_0.jpg,icymi tandberg joined at the hip climatesilence climatechange renewables harvey irma maria auspol ,1,0,0,1,0,"[101, 13580, 4328, 9092, 25190, 2587, 2012, 1996, 5099, 24734, 9463, 5897, 4785, 22305, 2063, 13918, 2015, 7702, 20868, 2863, 3814, 17151, 18155, 102]",No Human
4,7,7,7,8599,8599,904516442485338114,904516442485338114_0,informative,1.0,not_informative,1.0,rescue_volunteering_or_donation_effort,1.0,not_humanitarian,1.0,,,HOUSTON TEXANS NFL Licensed Patch 100% of sale Donated Harvey Relief RED CROSS - https://t.co/EXDk2LFwnF https://t.co/Y5obwqLpzj,http://pbs.twimg.com/media/DI186KTXcAIVYTe.jpg,../crisisApp/unzipped_data/a/904516442485338114_0.jpg,houston texans nfl licensed patch 100 of sale donated harvey relief red cross ,1,0,0,1,0,"[101, 5395, 23246, 5088, 7000, 8983, 2531, 1997, 5096, 6955, 7702, 4335, 2417, 2892, 102]",rescue
5,8,8,8,16710,16710,910523478830227456,910523478830227456_0,informative,0.6397,informative,1.0,other_relevant_information,0.6397,rescue_volunteering_or_donation_effort,1.0,,,RT @Jentezen: We are praying for all the people in Mexico who are suffering from the earthquake. https://t.co/y55ZqWuOzX,http://pbs.twimg.com/media/DKIPQP4U8AA2I2B.jpg,../crisisApp/unzipped_data/a/910523478830227456_0.jpg, we are praying for all the people in mexico who are suffering from the eahquake ,0,0,1,0,0,"[101, 2057, 2024, 14488, 2005, 2035, 1996, 2111, 1999, 3290, 2040, 2024, 6114, 2013, 1996, 19413, 2232, 16211, 3489, 102]",affected people
6,15,15,15,16486,16486,910232813605027841,910232813605027841_0,informative,0.6948,not_informative,0.6448,rescue_volunteering_or_donation_effort,0.6948,not_humanitarian,0.6448,,,FAA greenlights drone use in Irma recovery https://t.co/qmnLx0dNxY #uas#uav#drone#suas https://t.co/DZitwBV7RM,http://pbs.twimg.com/media/DKHL6yaU8AAZMxw.jpg,../crisisApp/unzipped_data/a/910232813605027841_0.jpg,faa greenlights drone use in irma recovery ,1,0,0,1,0,"[101, 17032, 2665, 15733, 18465, 2224, 1999, 20868, 2863, 7233, 102]",rescue
7,16,16,16,14015,14015,909754715180867584,909754715180867584_0,informative,0.6671,informative,0.6826,rescue_volunteering_or_donation_effort,0.6671,rescue_volunteering_or_donation_effort,0.6826,,,"Irma victims need our help, they can't recover on their own! #IrmaRecovery #IrmaVictims ·Ωâ9donate medical supplies·ΩâB https://t.co/BzXy6jyKIR",http://pbs.twimg.com/media/DKAZFcTXUAEGUmX.jpg,../crisisApp/unzipped_data/a/909754715180867584_0.jpg,irma victims need our help they can,1,0,0,0,0,"[101, 20868, 2863, 5694, 2342, 2256, 2393, 2027, 2064, 102]",rescue
8,21,23,23,4684,4684,915284879901954048,915284879901954048_0,informative,0.6477,not_informative,0.6622,rescue_volunteering_or_donation_effort,0.6477,not_humanitarian,0.6622,,,"Dominica needs our help, please Donate what you can. https://t.co/V69PiiPD7S https://t.co/Kso4Tb3OEk",http://pbs.twimg.com/media/DLO-vvUWAAEg_pG.jpg,../crisisApp/unzipped_data/a/915284879901954048_0.jpg,dominica needs our help please donate what you can ,1,0,0,1,0,"[101, 11282, 2050, 3791, 2256, 2393, 3531, 21357, 2054, 2017, 2064, 102]",rescue
9,29,32,32,6495,6495,923736657051947009,923736657051947009_0,not_informative,1.0,not_informative,0.6439,not_humanitarian,1.0,not_humanitarian,0.6439,,,But yet the natural devastation that happened to Puerto Rico â€œthrew the budget out of whackâ€ ???? https://t.co/sgZCDSbLql,http://pbs.twimg.com/media/DNHFlt-XUAAxUw5.jpg,../crisisApp/unzipped_data/a/923736657051947009_0.jpg,but yet the natural devastation that happened to pueo rico threw the budget out of whack ,1,0,1,0,0,"[101, 2021, 2664, 1996, 3019, 25594, 2008, 3047, 2000, 16405, 8780, 7043, 4711, 1996, 5166, 2041, 1997, 1059, 3270, 3600, 102]",No Human
10,37,42,42,16895,16895,910555973776900096,910555973776900096_0,informative,0.6943,informative,0.6895,other_relevant_information,0.6943,rescue_volunteering_or_donation_effort,0.6895,,,5 Ways You Can Help Mexico After the Deadly Earthquake https://t.co/u40scdC0hr #entrepreneur #business https://t.co/dxbJbFYLjH,http://pbs.twimg.com/media/DKLx055VoAU_l-W.jpg,../crisisApp/unzipped_data/a/910555973776900096_0.jpg,5 ways you can help mexico after the deadly eahquake ,0,0,1,0,0,"[101, 1019, 3971, 2017, 2064, 2393, 3290, 2044, 1996, 9252, 19413, 2232, 16211, 3489, 102]",rescue
11,40,45,45,17259,17259,910739720065384449,910739720065384449_0,informative,1.0,not_informative,0.6855,injured_or_dead_people,1.0,not_humanitarian,0.6855,,,[The WorldView in 5 Minutes] Earthquake in Mexico City Kills Over [...] https://t.co/4KNw5f0MLx via @PodcastAddict https://t.co/km9lF4MyFx,http://pbs.twimg.com/media/DKOY8sOWsAAK_zS.jpg,../crisisApp/unzipped_data/a/910739720065384449_0.jpg, the worldview in 5 minutes eahquake in mexico city kills over ,1,0,0,1,0,"[101, 1996, 2088, 8584, 1999, 1019, 2781, 19413, 2232, 16211, 3489, 1999, 3290, 2103, 8563, 2058, 102]",affected people
