,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,tweet_id,image_id,text_info,text_info_conf,image_info,image_info_conf,text_human,text_human_conf,image_human,image_human_conf,image_damage,image_damage_conf,tweet_text,image_url,image_path,preprocess_tweet_text,image_predict,text_predict,informative_tag
0,0,17754,17754,912369137296510977,912369137296510977_0,not_informative,0.6509,not_informative,1.0,not_humanitarian,0.6509,not_humanitarian,1.0,,,Pope Francis &amp; Donald Trump Calls For God's Help As Devastating Earthquake Leaves Nearlyâ€¦ https://t.co/bt9qJHSWMn https://t.co/RiunNrHHNp,http://pbs.twimg.com/media/DKli5PpVoAElAqd.jpg,912369137296510977_0.jpg,pope francis amp donald trump calls for god help as devastating eahquake leaves nearly ,1,0,0
1,1,17135,17135,910678493419200514,910678493419200514_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,injured_or_dead_people,1.0,,,Mexico earthquake: Family mourns 11 dead after church falls at baptism https://t.co/V7RhlHr8NU https://t.co/kWGi8UCToO,http://pbs.twimg.com/media/DKNhQ0JXUAAbxPT.jpg,910678493419200514_0.jpg,mexico eahquake family mourns 11 dead after church falls at baptism ,0,0,0
2,2,7589,7589,930482499427241984,930482499427241984_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,rescue_volunteering_or_donation_effort,1.0,,,Iran’s earthquake death toll raised to 530: declared an emergency https://t.co/rzx5zDge0h https://t.co/wvx2DrQlhG,http://pbs.twimg.com/media/DOm85ahX4AE4L0a.jpg,930482499427241984_0.jpg,iran eahquake death toll raised to 530 declared an emergency ,0,0,0
3,3,5302,5302,921432077534339072,921432077534339072_0,informative,1.0,not_informative,1.0,rescue_volunteering_or_donation_effort,1.0,not_humanitarian,1.0,,,Charleston Animal Society helping with homeless animals from Puerto Rico https://t.co/J1jq61H6jt #chsnews #scnews https://t.co/pCorEZqeN3,http://pbs.twimg.com/media/DMmHkIHWsAAMFte.jpg,921432077534339072_0.jpg,charleston animal society helping with homeless animals from pueo rico ,1,0,0
4,4,12476,12476,905692274050387968,905692274050387968_0,informative,0.3381,informative,1.0,other_relevant_information,0.3381,other_relevant_information,1.0,,,"NEWS US airlines brace themselves, passengers for Hurricane Irma – Fox Business https://t.co/WW6nbdEM87 https://t.co/oWntN3Zzud",http://pbs.twimg.com/media/DJGqUqYVYAAEq7s.jpg,905692274050387968_0.jpg,news us airlines brace themselves passengers for hurricane irma fox business ,0,0,0
5,5,15416,15416,909965919949955072,909965919949955072_0,not_informative,1.0,not_informative,0.6696,not_humanitarian,1.0,not_humanitarian,0.6696,,,ICYMI Tandberg- Joined at the hip. #ClimateSilence #climatechange #renewables #Harvey #Irma #Maria #auspol https://t.co/w34LhsiGgR,http://pbs.twimg.com/media/DKDZLmkVoAIFeZA.jpg,909965919949955072_0.jpg,icymi tandberg joined at the hip climatesilence climatechange renewables harvey irma maria auspol ,1,0,0
6,6,5902,5902,922557506894909440,922557506894909440_0,informative,0.359,not_informative,0.6552,infrastructure_and_utility_damage,0.359,not_humanitarian,0.6552,,,U.S. Hospitals Wrestle With Shortages of Drug Supplies Made in Puerto Rico https://t.co/kanwi25OHu https://t.co/hfUHlStCqc,http://pbs.twimg.com/media/DM2VKa4X4AAakgq.jpg,922557506894909440_0.jpg, hospitals wrestle with shoages of drug supplies made in pueo rico ,0,0,0
7,7,8599,8599,904516442485338114,904516442485338114_0,informative,1.0,not_informative,1.0,rescue_volunteering_or_donation_effort,1.0,not_humanitarian,1.0,,,HOUSTON TEXANS NFL Licensed Patch 100% of sale Donated Harvey Relief RED CROSS - https://t.co/EXDk2LFwnF https://t.co/Y5obwqLpzj,http://pbs.twimg.com/media/DI186KTXcAIVYTe.jpg,904516442485338114_0.jpg,houston texans nfl licensed patch 100 of sale donated harvey relief red cross ,1,0,0
8,8,16710,16710,910523478830227456,910523478830227456_0,informative,0.6397,informative,1.0,other_relevant_information,0.6397,rescue_volunteering_or_donation_effort,1.0,,,RT @Jentezen: We are praying for all the people in Mexico who are suffering from the earthquake. https://t.co/y55ZqWuOzX,http://pbs.twimg.com/media/DKIPQP4U8AA2I2B.jpg,910523478830227456_0.jpg, we are praying for all the people in mexico who are suffering from the eahquake ,0,0,0
9,9,16827,16827,910541703521685505,910541703521685505_0,not_informative,0.6411,not_informative,1.0,not_humanitarian,0.6411,not_humanitarian,1.0,,,New activation [#EMSR244]: Earthquake in Central Mexico https://t.co/3lcYxNNh4f #Copernicus #Earthquake #EUCivPro https://t.co/7VjkOPOda0,http://pbs.twimg.com/media/DKLk2jeXUAAxjMN.jpg,910541703521685505_0.jpg,new activation emsr244 eahquake in central mexico ,0,0,0
10,10,11493,11493,908266022280552448,908266022280552448_0,informative,0.671,not_informative,1.0,other_relevant_information,0.671,not_humanitarian,1.0,,,"Crazy Weather or Tornado? Take refuge in your theater/saferoom. 10.25"" thick concrete @superiorwalls #mancave https://t.co/f46VkXL7YC",http://pbs.twimg.com/media/DJrPHMbV4AA_VBZ.jpg,908266022280552448_0.jpg,crazy weather or tornado take refuge in your theater saferoom 10 25 thick concrete superiorwalls mancave ,1,0,0
11,11,12636,12636,905729873557078016,905729873557078016_0,informative,0.6677,informative,1.0,other_relevant_information,0.6677,other_relevant_information,1.0,,,Nations lean on Pacific Disaster Center to prepare for Hurricane Irma https://t.co/tiDnxruUec #hawaii https://t.co/xFP5gTd1dl,http://pbs.twimg.com/media/DJHMhNIUEAAkK6I.png,905729873557078016_0.png,nations lean on pacific diter center to prepare for hurricane irma ,0,0,0
12,12,7300,7300,930028600992165888,930028600992165888_2,informative,1.0,informative,1.0,other_relevant_information,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.7895,Some #pictures from #earthquake #Iran-Iraq border in Kermanshah shows different #damages. https://t.co/9jSv3o9QE9,http://pbs.twimg.com/media/DOggBcSX4AA6En-.jpg,930028600992165888_2.jpg,some pictures from eahquake iran iraq border in kermanshah shows different damages ,0,0,0
13,13,3236,3236,911665589978112001,911665589978112001_0,informative,1.0,informative,0.6624,other_relevant_information,1.0,infrastructure_and_utility_damage,0.6624,severe_damage,0.8003,RT @MiamiHerald: Hurricane Maria could send wave of Puerto Rican students to Miami https://t.co/B8voWzODEE https://t.co/jxx3a5vINL,http://pbs.twimg.com/media/DKW6h65W4AET1_c.jpg,911665589978112001_0.jpg, hurricane maria could send wave of pueo rican students to miami ,0,0,0
14,14,501,501,919573605700083713,919573605700083713_0,informative,1.0,informative,0.856,infrastructure_and_utility_damage,1.0,vehicle_damage,0.856,,,"Slideshow: Wildfires ravage California, melting cars, destroying homes https://t.co/DAs1N0lMbR https://t.co/GvnbxrsKFG",http://pbs.twimg.com/media/DML7UfxVAAAroQ8.jpg,919573605700083713_0.jpg,slideshow wildfires ravage california melting cars destroying homes ,0,0,0
15,15,16486,16486,910232813605027841,910232813605027841_0,informative,0.6948,not_informative,0.6448,rescue_volunteering_or_donation_effort,0.6948,not_humanitarian,0.6448,,,FAA greenlights drone use in Irma recovery https://t.co/qmnLx0dNxY #uas#uav#drone#suas https://t.co/DZitwBV7RM,http://pbs.twimg.com/media/DKHL6yaU8AAZMxw.jpg,910232813605027841_0.jpg,faa greenlights drone use in irma recovery ,1,0,0
16,16,14015,14015,909754715180867584,909754715180867584_0,informative,0.6671,informative,0.6826,rescue_volunteering_or_donation_effort,0.6671,rescue_volunteering_or_donation_effort,0.6826,,,"Irma victims need our help, they can't recover on their own! #IrmaRecovery #IrmaVictims ·Ωâ9donate medical supplies·ΩâB https://t.co/BzXy6jyKIR",http://pbs.twimg.com/media/DKAZFcTXUAEGUmX.jpg,909754715180867584_0.jpg,irma victims need our help they can,1,0,0
17,17,16435,16435,910224757785858048,910224757785858048_0,informative,1.0,not_informative,1.0,other_relevant_information,1.0,not_humanitarian,1.0,,,Important for any community affected by Hurricane Irma to keep in mind: https://t.co/NtHDYuOz3C https://t.co/AoqK3dJTGy,http://pbs.twimg.com/media/DKHEl6rXkAAiNYZ.jpg,910224757785858048_0.jpg,impoant for any community affected by hurricane irma to keep in mind ,1,0,0
18,18,16769,16769,910533037212893185,910533037212893185_2,not_informative,0.6674,not_informative,1.0,not_humanitarian,0.6674,not_humanitarian,1.0,,,RT @JinesHatesYou: Juice=Juice sending love to Mexico after big earthquake. â¤#JJ_worldtour #Mexico #FuerzaMexico https://t.co/Rbc2gZZp1S,http://pbs.twimg.com/media/DKLFMt4VoAA4ib1.jpg,910533037212893185_2.jpg, juice juice sending love to mexico after big eahquake jj worldtour mexico fuerzamexico ,1,1,1
19,19,5861,5861,922510054963720193,922510054963720193_0,not_informative,0.6556,not_informative,1.0,not_humanitarian,0.6556,not_humanitarian,1.0,,,".@HUDgov Sec. Ben Carson takes the stage. Starts with thoughts and prayers for Puerto Rico, Gulf states, California. https://t.co/aFsNzMEqbE",http://pbs.twimg.com/media/DM1p__rUEAEZHcz.jpg,922510054963720193_0.jpg, hudgov sec ben carson takes the stage stas with thoughts and prayers for pueo rico gulf states california ,1,1,1
20,20,9686,9686,905555117583335424,905555117583335424_0,informative,1.0,not_informative,1.0,other_relevant_information,1.0,not_humanitarian,1.0,,,Soil Moisture Satellite Observes Harveyâ€™s Wrath https://t.co/1s266ksGE6 #NASA #ImageOfTheDay https://t.co/oyCksnGUZZ,http://pbs.twimg.com/media/DJEtlETW0AEDNBP.jpg,905555117583335424_0.jpg,soil moisture satellite observes harvey wrath ,1,0,0
21,21,15189,15189,909914794550992896,909914794550992896_0,informative,1.0,not_informative,0.6628,other_relevant_information,1.0,not_humanitarian,0.6628,,,RT @htTweets: Can India’s coastal cities survive an Irma-type storm? #HTEditorial https://t.co/czniu7SUlR https://t.co/1mTBGKXIet,http://pbs.twimg.com/media/DJlO1zWWsAALyeh.jpg,909914794550992896_0.jpg, can india coastal cities survive an irma type storm hteditorial ,0,0,0
22,22,3266,3266,911694471850577921,911694471850577921_1,informative,1.0,informative,0.6719,other_relevant_information,1.0,other_relevant_information,0.6719,,,"#HurricaneMaria High-level infrared sea surface temps &amp; rainfall, plus atmospheric water vapor, wind &amp; rain images https://t.co/EIHv9Z1qt2",http://pbs.twimg.com/media/DKb9B3qUIAAhq7i.jpg,911694471850577921_1.jpg, hurricanemaria high level infrared sea surface temps amp rainfall plus atmospheric water vapor wind amp rain images ,0,0,0
23,23,4684,4684,915284879901954048,915284879901954048_0,informative,0.6477,not_informative,0.6622,rescue_volunteering_or_donation_effort,0.6477,not_humanitarian,0.6622,,,"Dominica needs our help, please Donate what you can. https://t.co/V69PiiPD7S https://t.co/Kso4Tb3OEk",http://pbs.twimg.com/media/DLO-vvUWAAEg_pG.jpg,915284879901954048_0.jpg,dominica needs our help please donate what you can ,1,0,0
24,24,8527,8527,904464166953594881,904464166953594881_0,not_informative,1.0,not_informative,0.6491,not_humanitarian,1.0,not_humanitarian,0.6491,,,"RT @MaJoad60410: @RepKinzinger PEOPLE I GIVE you the """"WALL"" #Harvey , Adam approved: https://t.co/JbTbjfpGFQ",http://pbs.twimg.com/media/DI0Gn6wXkAAJqUE.jpg,904464166953594881_0.jpg, repkinzinger people give you the wall harvey adam approved ,1,1,1
25,25,11581,11581,908404975725957121,908404975725957121_0,informative,1.0,not_informative,0.6606,other_relevant_information,1.0,not_humanitarian,0.6606,,,"After major rain from hurricane Harvey at my house, something magnificent happened in its place. #GodsOwnCountry https://t.co/UtUgSoETYo",http://pbs.twimg.com/media/DJtNgr6WkAUqW5p.jpg,908404975725957121_0.jpg,after major rain from hurricane harvey at my house something magnificent happened in its place godsowncountry ,1,0,0
26,26,4670,4670,915256404742688769,915256404742688769_0,informative,1.0,informative,1.0,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.6916,This is my friends home after #HurricaneMaria please help by donating https://t.co/9I4qePaKOO https://t.co/VMigoHoX0A,http://pbs.twimg.com/media/DLOk2JBWAAUiNi8.jpg,915256404742688769_0.jpg,this is my friends home after hurricanemaria please help by donating ,1,0,0
27,27,3566,3566,912150525361221632,912150525361221632_0,informative,1.0,informative,1.0,other_relevant_information,1.0,other_relevant_information,1.0,,,". #Maria is now a weak and ragged looking Cat-1 hurricane, but TS Watches have been posted on the NC Coast #wis10 https://t.co/3pAt6fT9k6",http://pbs.twimg.com/media/DKicENuW0AAy62G.jpg,912150525361221632_0.jpg, maria is now weak and ragged looking cat 1 hurricane but ts watches have been posted on the nc coast wis10 ,0,0,0
28,28,10317,10317,906343879909179392,906343879909179392_0,informative,0.3407,informative,0.6579,other_relevant_information,0.3407,infrastructure_and_utility_damage,0.6579,mild_damage,0.7057,I saw this in Houston today while doing #HurricaneHarvey cleanup. I â¤ï¸ Texas. https://t.co/eSxtC1RrX6,http://pbs.twimg.com/media/DJP68owV4AAoPnu.jpg,906343879909179392_0.jpg, saw this in houston today while doing hurricaneharvey cleanup texas ,0,0,0
29,29,7267,7267,930016742730018816,930016742730018816_0,informative,0.6659,not_informative,0.6664,injured_or_dead_people,0.6659,not_humanitarian,0.6664,,,Iran-Iraq border earthquake live updates: Death toll crosses #TISNews Click Link- https://t.co/pqMmIrT93i https://t.co/NqM72HpUuh,http://pbs.twimg.com/media/DOgVTHYXUAA3DxF.jpg,930016742730018816_0.jpg,iran iraq border eahquake live updates death toll cro tisnews click link ,0,0,0
30,30,1535,1535,923343614117384197,923343614117384197_0,informative,1.0,informative,0.6667,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,0.6667,severe_damage,0.411,Geospatial Analysis of California Wildfires Shows What Actually Burned https://t.co/CdWoecOcOL https://t.co/5htLAzR6eA,http://pbs.twimg.com/media/DNBgH15UMAA0e15.jpg,923343614117384197_0.jpg,geospatial analy of california wildfires shows what actually burned ,0,0,0
31,31,15773,15773,910112563781881862,910112563781881862_0,informative,1.0,informative,1.0,other_relevant_information,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.6452,The Latest: Irma https://t.co/iHfeMkFeOV #news #usa #headline | Ὠ0 by https://t.co/ph3dzl6be9 https://t.co/ZOhHhn0bCA,http://pbs.twimg.com/media/DKFejXnV4AAO1ub.jpg,910112563781881862_0.jpg,the latest irma ,0,0,0
32,32,6495,6495,923736657051947009,923736657051947009_0,not_informative,1.0,not_informative,0.6439,not_humanitarian,1.0,not_humanitarian,0.6439,,,But yet the natural devastation that happened to Puerto Rico â€œthrew the budget out of whackâ€ ???? https://t.co/sgZCDSbLql,http://pbs.twimg.com/media/DNHFlt-XUAAxUw5.jpg,923736657051947009_0.jpg,but yet the natural devastation that happened to pueo rico threw the budget out of whack ,1,0,0
33,33,2472,2472,878805813187497984,878805813187497984_0,not_informative,1.0,not_informative,1.0,not_humanitarian,1.0,not_humanitarian,1.0,,,@AcePictureBot Your waifu is Mora (Pornhub) https://t.co/EbDEpoqQ2m,http://pbs.twimg.com/media/DDIlOiCXgAI4pTW.jpg,878805813187497984_0.jpg, acepicturebot your waifu is mora pornhub ,1,1,1
34,34,16133,16133,910172039985672192,910172039985672192_0,informative,1.0,not_informative,0.6579,infrastructure_and_utility_damage,1.0,not_humanitarian,0.6579,,,Photos of the damage to the Keys #Irma #Florid https://t.co/OPZ9tjT2Zt a https://t.co/ggOGouwFUw,http://pbs.twimg.com/media/DKGUpVRXoAAkt9N.jpg,910172039985672192_0.jpg,photos of the damage to the keys irma florid ,0,0,0
35,35,3302,3302,911720281126981637,911720281126981637_0,informative,1.0,informative,1.0,other_relevant_information,1.0,other_relevant_information,1.0,,,Latest forecast track for Hurricane Maria tends to keep New England safe...fingers crossed. https://t.co/kNAeSHKepQ https://t.co/NoEYGbdYiH,http://pbs.twimg.com/media/DKcUnUvV4AAEN8X.jpg,911720281126981637_0.jpg,latest forecast track for hurricane maria tends to keep new england safe fingers crossed ,0,0,0
36,36,14089,14089,909765980519370753,909765980519370753_0,not_informative,0.6807,informative,0.6579,not_humanitarian,0.6807,affected_individuals,0.6579,,,Florida is far better prepared for Irma than poorer Caribbean islands @PhilippaGarson explores disaster inequality‚Ä¶ https://t.co/LR9kOcyF24,http://pbs.twimg.com/media/DKAjVjSW4AMeM89.jpg,909765980519370753_0.jpg,florida is far better prepared for irma than poorer caribbean islands philippagarson explores diter inequality ,0,0,0
37,37,15936,15936,910142007057829888,910142007057829888_0,informative,0.3667,informative,1.0,other_relevant_information,0.3667,infrastructure_and_utility_damage,1.0,severe_damage,0.6452,The Hotel Heroes of Hurricane Irma https://t.co/Ge3QFiCVte https://t.co/8oA9wbPqeu,http://pbs.twimg.com/media/DKF5VKvV4AEE46k.jpg,910142007057829888_0.jpg,the hotel heroes of hurricane irma ,0,0,0
38,38,3803,3803,912443382525460480,912443382525460480_0,informative,1.0,informative,0.6638,other_relevant_information,1.0,infrastructure_and_utility_damage,0.6638,mild_damage,1.0,What Hurricane Maria taught me about the people of Puerto Rico – Miami Herald https://t.co/CBh0pR0YX5 https://t.co/ANPXPdSsIR,http://pbs.twimg.com/media/DKmma11VwAAqwOz.jpg,912443382525460480_0.jpg,what hurricane maria taught me about the people of pueo rico miami herald ,0,0,0
39,39,15391,15391,909957623994355712,909957623994355712_0,not_informative,0.7164,not_informative,1.0,not_humanitarian,0.7164,not_humanitarian,1.0,,,When u aint even recovered from Irma and find out Maria skipped Cat 4 and went straight to Cat 5 and coming straigh‚Ä¶ https://t.co/29oO5qBz57,http://pbs.twimg.com/media/DKDRmYpXkAAn7DW.jpg,909957623994355712_0.jpg,when aint even recovered from irma and find out maria skipped cat 4 and went straight to cat 5 and coming straigh ,1,1,1
40,40,15981,15981,910149200410791936,910149200410791936_1,not_informative,1.0,informative,1.0,not_humanitarian,1.0,infrastructure_and_utility_damage,1.0,little_or_no_damage,1.0,"Pics of NOAA Southeast Science Center in Miami, post Irma. https://t.co/4A7Q8yqS3G",http://pbs.twimg.com/media/DKF_33eWAAIK1Qk.jpg,910149200410791936_1.jpg,pics of noaa southeast science center in miami post irma ,0,0,0
41,41,14191,14191,909777512028401664,909777512028401664_0,informative,1.0,informative,0.6513,other_relevant_information,1.0,infrastructure_and_utility_damage,0.6513,mild_damage,0.6452,recently saw the consequences of Hurricane Irma ... I hope it's over and everything will be all right. Good luck! https://t.co/senw9rJL3H,http://pbs.twimg.com/media/DKAt0GUWsAAKZoB.jpg,909777512028401664_0.jpg,recently saw the consequences of hurricane irma hope it over and everything will be all right good luck ,0,0,0
42,42,16895,16895,910555973776900096,910555973776900096_0,informative,0.6943,informative,0.6895,other_relevant_information,0.6943,rescue_volunteering_or_donation_effort,0.6895,,,5 Ways You Can Help Mexico After the Deadly Earthquake https://t.co/u40scdC0hr #entrepreneur #business https://t.co/dxbJbFYLjH,http://pbs.twimg.com/media/DKLx055VoAU_l-W.jpg,910555973776900096_0.jpg,5 ways you can help mexico after the deadly eahquake ,0,0,0
43,43,16566,16566,910246215836614656,910246215836614656_0,informative,0.6574,informative,0.6477,other_relevant_information,0.6574,other_relevant_information,0.6477,,,RT @fema: Follow this list of trusted accounts for up-to-date information as #Irma unfolds: https://t.co/usdom52Rqm https://t.co/D8mNNxcElZ,http://pbs.twimg.com/media/DJPXBC6W0AM1snF.jpg,910246215836614656_0.jpg, follow this list of trusted accounts for up to date information as irma unfolds ,0,0,0
44,44,8543,8543,904473410792816641,904473410792816641_1,informative,1.0,informative,0.697,rescue_volunteering_or_donation_effort,1.0,rescue_volunteering_or_donation_effort,0.697,,,#19 &amp; #20 serving the people and saving the puppies affected by #Harvey ὃ6 https://t.co/QHhVCtgMp0,http://pbs.twimg.com/media/DI1VxRDUEAABhzn.jpg,904473410792816641_1.jpg, 19 amp 20 serving the people and saving the puppies affected by harvey 6 ,0,0,0
45,45,17259,17259,910739720065384449,910739720065384449_0,informative,1.0,not_informative,0.6855,injured_or_dead_people,1.0,not_humanitarian,0.6855,,,[The WorldView in 5 Minutes] Earthquake in Mexico City Kills Over [...] https://t.co/4KNw5f0MLx via @PodcastAddict https://t.co/km9lF4MyFx,http://pbs.twimg.com/media/DKOY8sOWsAAK_zS.jpg,910739720065384449_0.jpg, the worldview in 5 minutes eahquake in mexico city kills over ,1,0,0
46,46,10818,10818,907202068754071554,907202068754071554_0,informative,1.0,not_informative,0.6568,other_relevant_information,1.0,not_humanitarian,0.6568,,,RT @BullBag2006: BullBag reusable dumpster bag responds to Hurricane Harvey and Irma https://t.co/69rKgMMBsM https://t.co/RcBuhIE4zo,http://pbs.twimg.com/media/DJY-570X0AUaNrM.jpg,907202068754071554_0.jpg, bullbag reusable dumpster bag responds to hurricane harvey and irma ,0,0,0
47,47,8709,8709,904630249736085505,904630249736085505_0,informative,0.7584,informative,0.6511,other_relevant_information,0.7584,infrastructure_and_utility_damage,0.6511,dont_know_or_cant_judge,0.7156,#Harvey makes landfall in Saudi Arabia https://t.co/CnlBFzYJWk https://t.co/F9x80tUfp2,http://pbs.twimg.com/media/DI3kapYW0AAzO-W.jpg,904630249736085505_0.jpg, harvey makes landfall in saudi arabia ,0,0,0
48,48,9063,9063,904979445999644672,904979445999644672_0,informative,0.6412,not_informative,0.5046,rescue_volunteering_or_donation_effort,0.6412,not_humanitarian,0.5046,,,Josh Abbott Band designed a special T-shirt to benefit Hurricane Harvey victims: https://t.co/mmBnarHTZ0 https://t.co/pK26V4FEfi,http://pbs.twimg.com/media/DI8iAmZW0AA9_3p.jpg,904979445999644672_0.jpg,josh abbott band designed special,1,1,1
49,49,11624,11624,908454080749727746,908454080749727746_0,informative,0.657,informative,1.0,other_relevant_information,0.657,infrastructure_and_utility_damage,1.0,mild_damage,0.6951,https://t.co/pbNlxDui1e The aftermath of Harvey and Irma for businesses https://t.co/DJyw32HfKl https://t.co/2v9M36RLx7,http://pbs.twimg.com/media/DJt6K6SW4AAMDnN.jpg,908454080749727746_0.jpg,,1,1,1
